title,knowledge,source
Можно ли зарегистрировать бизнес дистанционно без посещения налоговых органов?,"Да, зарегистрировать бизнес можно дистанционно, не посещая налоговые органы.",
Нужно ли лично посещать налоговые органы для регистрации бизнеса?,"Нет, для регистрации бизнеса не нужно лично посещать налоговые органы.",
Можно ли подать заявку на регистрацию бизнеса в любое время?,"Да, подать заявку на регистрацию бизнеса можно в любое время.",
Требуется ли оплата государственной пошлины при онлайн регистрации?,"Нет, при онлайн регистрации оплата государственной пошлины не требуется.",
Какие документы нужны для онлайн регистрации ИП?,"Для онлайн регистрации ИП нужны паспорт, СНИЛС и ИНН.",
Какие документы требуются для регистрации юридического лица онлайн?,"Для онлайн регистрации юридического лица нужны паспорт учредителя, устав и решение об учреждении общества.",
Как выбрать виды деятельности при регистрации бизнеса?,"Виды деятельности выбираются по ОКВЭД, и в заявлении необходимо указать не менее 4 цифровых знаков соответствующего кода.",
Какие электронные сервисы можно использовать для онлайн регистрации бизнеса?,"Для онлайн регистрации можно использовать портал госуслуг, сайт ФНС России, некоторые банки и цифровую платформу МСП.РФ.",
Какие преимущества у регистрации бизнеса на платформе МСП.РФ?,"На платформе МСП.РФ есть пошаговая инструкция, возможность отслеживать статус процедуры онлайн и получение электронных документов после регистрации.",
Как получать документы после успешной регистрации бизнеса?,"После регистрации бизнеса заявитель получит электронные документы на указанный адрес электронной почты: о постановке на учет, о внесении записи в ЕГРЮЛ или ЕГРИП, и учредительный документ с отметкой регистрирующего органа.",
Что такое Система быстрых платежей (СБП)?,"Система быстрых платежей (СБП) – это сервис Банка России, который позволяет выполнять мгновенные переводы по номеру телефона между банками-участниками, а также оплачивать товары и услуги с помощью мобильных приложений банков-участников и приложения СБПэй. Технологическим «двигателем» СБП выступает Национальная система платёжных карт (НСПК).",
Какая комиссия за использование СБП?,"Комиссия в СБП для бизнеса не превышает 0,4% или 0,7% в зависимости от типа бизнеса. Для ЖКУ – 0,2%, для потребительских товаров, медицинских учреждений и других категорий – 0,4%, для остальных организаций – 0,7%. Максимальная сумма комиссии – 1 500 рублей за операцию.",
Для какого бизнеса подходит СБП?,"Система быстрых платежей подходит для любого вида бизнеса – как онлайн, так и офлайн.",
Как происходит оплата через СБП?,"Оплата через СБП происходит с использованием QR-кода, NFC-метки, ссылки или кнопки. Покупатель сканирует QR-код, нажимает на кнопку или следуя ссылке, выбирает банк и подтверждает платеж в своём мобильном приложении. Средства поступают мгновенно на счёт продавца.",
Как подключить СБП?,"Подключение к СБП осуществляется в три шага: оставить заявку на подключение в банке-участнике, выбрать удобный способ установки сервиса и начать принимать платежи.",
Сколько банков-участников СБП?,"В СБП участвуют более 180 банков, включая все крупнейшие. Полный список банком-участниками доступен на официальном сайте и можно уточнить в своём банке.",
Какие преимущества СБП для бизнеса?,"Преимущества СБП для бизнеса включают низкие комиссии, мгновенные поступления, возможность принимать платежи от клиентов всех банков-участников, отсутствие необходимости в дополнительном оборудовании и улучшение конверсии.",
Какие акции проводит СБП для пользователей?,"СБП регулярно организует промоакции с кешбэком и скидками, повышая привлекательность способа оплаты среди покупателей.",
Какие сценарии оплаты доступны в СБП?,"Доступны сценарии оплаты по QR-коду, NFC-метке, ссылке или кнопке. Клиент может оплатить платеж, используя мобильное приложение банка или приложение СБПэй.",
Почему СБП выгоден для бизнеса?,"СБП выгоден для бизнеса из-за низкой комиссии, быстрого поступления денег, отсутствия необходимости в дополнительном оборудовании, а также повышения конверсии из-за удобства оплаты без ввода реквизитов карты.",
Что такое субъекты малого и среднего предпринимательства (МСП)?,"Субъектами малого и среднего предпринимательства считаются предприятия и индивидуальные предприниматели, соответствующие определенным критериям. Они автоматически включаются в единый реестр субъектов МСП, что позволяет им пользоваться мерами государственной поддержки и льготами.",
Какие критерии используются для отнесения к МСП?,"Основные критерии: годовой доход (до 800 млн ₽ для малых, до 2 млрд ₽ для средних предприятий), число работников (до 100 для малых, до 250 для средних). Для легкой промышленности и общепита допустимо до 1000 и 1500 работников соответственно.",
Что такое микропредприятия?,Микропредприятия — это малые предприятия с годовым доходом до 120 млн рублей и численностью работников до 15 человек включительно.,
Какие организационные формы могут быть субъектами МСП?,"Организационные формы субъектов МСП: ИП, ООО, АО, крестьянско-фермерское хозяйство, хозяйственное товарищество/партнерство, производственный/потребительский кооператив.",
Как и когда новый бизнес попадает в реестр МСП?,Новый бизнес включается в реестр на следующий месяц после регистрации (10-го числа). По умолчанию он считается микропредприятием без проверки.,
Как часто обновляется реестр субъектов МСП?,"Реестр обновляется ежемесячно до 20 числа, сразу после обновления ФНС. Ежегодное обновление происходит 10 июля, при этом проверяется соответствие критериям по доходу и числу работников.",
Какие документы необходимо сдать для сохранения статуса МСП?,"Для сохранения статуса необходимо сдать вовремя РСВ за прошлый год (до 25 января) и налоговую декларацию (сроки зависят от типа налога). Дополнительно нужно учитывать особенности для ПСН, НПД и АУСН.",
"Что происходит, если не сдать документы вовремя?","Если не сдать документы вовремя, предприятие исключают из реестра 10 июля. Можно сдать недостающий документ и вернуться в реестр 10-го числа следующего месяца, но в реестре останется запись об исключении.",
Какой критерий учета уставного капитала применяется к МСП?,"Критерии: до 49% капитала — доля организаций, не являющихся МСП (крупный бизнес, иностранные компании); до 25% — доля государства, муниципалитетов, общественных организаций. Критерий не применяется к резидентам «Сколково» и другим инновационным компаниям.",
"Кто направляет списки организаций, к которым не применяется критерий уставного капитала?","Перечни инновационных компаний — фонд «Сколково», биржи, Минэкономразвития или Минобрнауки; ООО с иностранными участниками — аудиторы; ООО объединений инвалидов — общественные организации. Эти перечни подаются в ФНС ежегодно с 1 по 5 июля.",
Что такое электронная подпись?,Электронная подпись (ЭП) — это законная замена рукописной подписи для дистанционного подписания документов.,
Какие действия можно выполнить с помощью электронной подписи?,"С помощью ЭП можно зарегистрировать бизнес, сдавать декларации в налоговую службу, получать госуслуги, участвовать в закупках, подписывать договоры, вести электронный документооборот, получать банковские услуги и подавать заявки на оказание государственной поддержки.",
Какие виды электронной подписи существуют?,"Существует три вида электронной подписи: простая, неквалифицированная и квалифицированная.",
Где можно получить электронную подпись для юридического лица или ИП?,Получить электронную подпись для юридического лица или индивидуального предпринимателя можно только в налоговых органах или у доверенных лиц ФНС России.,
Какие документы нужны для получения электронной подписи?,Для получения ЭП необходимо предоставить паспорт и СНИЛС.,
Как получить электронную подпись онлайн?,ЭП можно получить онлайн через сервис на Цифровой платформе МСП.РФ.,
Что нужно для работы с электронной подписью на компьютере?,"Для работы с ЭП на компьютере нужно установить драйверы для токена, систему «КриптоПро» и корневые сертификаты Минцифры России и удостоверяющего центра ФНС России.",
Сколько времени занимает выпуск электронной подписи?,Выпуск ЭП занимает в среднем один рабочий день.,
Можно ли получить электронную подпись бесплатно?,"ЭП можно получить бесплатно, но за токен и программное обеспечение необходимо будет заплатить.",
Какие устройства используются для хранения электронной подписи?,"ЭП записывается на USB-токен, который похож на обычную флэшку, но должен иметь сертификат ФСБ / ФСТЭК, например, Рутокен, JaCarta, ESMART Token.",
Что такое расчетный счет и для чего он нужен?,"Расчетный счет — это банковский счет, который используется для приема платежей, хранения денег, проведения расчетов, заключения договоров, учета финансовых операций, уплаты налогов, начисления зарплаты, оплаты товаров и услуг, использования эквайринга и системы быстрых платежей.",
Может ли индивидуальный предприниматель обойтись без расчетного счета?,"Да, ИП может обойтись без расчетного счета, в отличие от организации, которая без него вряд ли сможет полноценно работать.",
Какие документы нужны для открытия расчетного счета для индивидуального предпринимателя?,"Для ИП необходимо предоставить заявление на открытие РС, паспорт, ИНН и выписку из ЕГРИП.",
Какие документы нужны для открытия счета для юридического лица?,"Для ЮЛ требуются заявление на открытие РС, учредительные документы, выписка из ЕГРЮЛ, документ о постановке на налоговый учет и документы, подтверждающие полномочия генерального директора.",
Как выбрать банк для открытия расчетного счета?,"При выборе банка нужно учитывать надежность, условия обслуживания, наличие эквайринга, участие в СБП и особенности для госзаказов.",
Что такое эквайринг и как его подключить?,"Эквайринг — это услуга, позволяющая принимать оплату банковскими картами. Для подключения нужно иметь расчетный счет, выбрать тариф, заключить договор, приобрести или арендовать оборудование и настроить его.",
Что такое система быстрых платежей (СБП) и как к ней подключиться?,"СБП — это система безналичных платежей через QR-код. Для подключения необходимо иметь расчетный счет в банке, работающем с СБП, настроить ККТ и обратиться в техподдержку банка.",
Можно ли использовать бизнес-карту для личных покупок?,"Да, индивидуальные предприниматели, применяющие патентную или упрощенную систему налогообложения, могут использовать бизнес-карту для личных покупок.",
Кто уведомляет налоговую об открытии расчетного счета?,Обязанность уведомить налоговые органы и Социальный фонд России об открытии или закрытии расчетного счета лежит на кредитной организации.,
Какие преимущества у системы СБП по сравнению с эквайрингом?,"СБП позволяет принимать безналичные платежи без карт и эквайринга, что экономит на комиссиях, поскольку деньги зачисляются на счет через QR-код.",
Как можно назначить генерального директора в ООО с одним учредителем?,"Если единственный учредитель желает сам исполнять обязанности генерального директора, можно оформить назначение решением единственного участника.",
Нужно ли уведомлять налоговую службу об открытии расчетного счета?,"Нет, уведомлять об открытии счета налоговую службу и внебюджетные фонды не надо, это сделает банк.",
Какой минимальный уставный капитал должен быть внесен в денежной форме?,Минимум 10 000 руб. должно быть внесено в денежной форме.,
Как можно получить информационное письмо с кодами статистики?,Это можно сделать в электронном виде в территориальном органе Росстата.,
Какие органы нужно уведомить о начале отдельных видов предпринимательской деятельности?,"Нужно уведомить контролирующие органы, например, Роспотребнадзор или Ространснадзор, в зависимости от вида деятельности.",
Какие виды деятельности требуют уведомления о начале их осуществления?,"Уведомление необходимо подавать о начале осуществления видов деятельности, указанных в постановлении Правительства РФ от 27.05.2025 № 725.",
Какие случаи позволяют начать обработку персональных данных без уведомления?,"Обработка ПД без уведомления возможна, если она осуществляется исключительно без использования средств автоматизации.",
Как получить лицензию для лицензируемых видов деятельности?,"Если среди заявленных видов коммерческой деятельности есть лицензируемые, необходимо получить лицензию в соответствии с Федеральным законом № 99-ФЗ.",
Обязательно ли наличие печати для юридического лица?,"Юридические лица и ИП имеют право, но не обязаны иметь круглую печать; её наличие должно быть указано в уставе.",
Какие организации обязаны применять контрольно-кассовую технику?,"По общему правилу все организации и ИП обязаны применять ККТ, однако в отдельных случаях её можно не применять.",
"Какая ответственность несет работник по умолчанию за прямой действительный ущерб, причиненный работодателю?",Работник несет ограниченную ответственность в пределах своего среднемесячного заработка.,
Какие условия необходимы для привлечения работника к полной материальной ответственности?,"Работник должен быть возложен на него материальная ответственность в полном размере за ущерб, причиненный при исполнении трудовых обязанностей, или быть вовлечен в недостачу ценностей по специальному договору.",
Кто может быть привлечен к полной материальной ответственности?,"Работники, достигшие 18 лет, обслуживающие денежное/товарное имущество, и занимающие должности, указанные в перечне Минтруда России.",
Какие должности могут быть включены в перечень для заключения договора о полной материальной ответственности?,"Кассиры, продавцы, заведующие хозяйством, товароведы, руководители складов, директора организаций, начальники строительных подразделений и другие.",
Можно ли заключить договор о полной материальной ответственности с несовершеннолетними работниками?,"Нет, заключать договоры о полной материальной ответственности с несовершеннолетними работниками невозможно.",
В каких случаях материальная ответственность работника исключается?,"В случаях возникновения ущерба вследствие непреодолимой силы, нормального хозяйственного риска, крайней необходимости или неисполнения работодателем обязанности по обеспечению условий для хранения имущества.",
Как определяется величина ущерба?,"Величина ущерба определяется по фактическим потерям с учетом стоимости имущества, степени его износа и рыночных цен.",
Какой форме должен быть заключен договор о полной материальной ответственности?,Договор должен быть заключен в письменной форме.,
Какие виды договоров о полной материальной ответственности существуют?,Существуют индивидуальные и коллективные (бригадные) договоры о полной материальной ответственности.,
